Date,HIBOR_ON_percent
2025-04-03,3.0
2025-04-07,3.0456
2025-04-08,3.08333
2025-04-09,3.05762
2025-04-10,3.18714
2025-04-11,3.13167
2025-04-14,3.19036
2025-04-15,3.04167
2025-04-16,3.09857
2025-04-17,3.32192
2025-04-22,3.33179
2025-04-23,3.58536
2025-04-24,3.84976
2025-04-25,4.02179
2025-04-28,4.21107
2025-04-29,4.27774
2025-04-30,4.5
2025-05-02,4.3
2025-05-06,3.41393
2025-05-07,2.49905
2025-05-08,0.38952
2025-05-09,0.09786
2025-05-12,0.07167
2025-05-13,0.0444
2025-05-14,0.03863
2025-05-15,0.0575
2025-05-16,0.06196
2025-05-19,0.03577
2025-05-20,0.02667
2025-05-21,0.03577
2025-05-22,0.02833
2025-05-23,0.02702
2025-05-27,0.02887
2025-05-28,0.02774
2025-05-29,0.02816
2025-05-30,0.03143
2025-06-02,0.02458
2025-06-03,0.02027
2025-06-04,0.01289
2025-06-05,0.01949
2025-06-06,0.02182
2025-06-09,0.02
2025-06-10,0.02
2025-06-11,0.02
2025-06-12,0.02
2025-06-13,0.01818
2025-06-16,0.01854
2025-06-17,0.02917
2025-06-18,0.01967
2025-06-20,0.01979
2025-06-23,0.01777
2025-06-24,0.02
2025-06-25,0.02071
2025-06-26,0.0375
2025-06-27,0.03393
2025-06-30,0.02839
2025-07-02,0.02
2025-07-03,0.02039
2025-07-07,0.08373
2025-07-08,0.04042
2025-07-09,0.0697
2025-07-10,0.07113
2025-07-11,0.08935
2025-07-14,0.2
2025-07-15,0.1997
2025-07-16,0.12095
2025-07-17,0.18905
2025-07-18,0.13232
2025-07-21,0.19006
2025-07-22,0.19512
2025-07-23,0.18512
2025-07-24,0.2203
2025-07-25,0.26857
2025-07-28,0.56941
2025-07-29,0.48315
2025-07-30,0.42494
2025-07-31,0.18506
2025-08-01,0.17994
2025-08-04,0.13387
2025-08-06,0.13738
2025-08-07,0.20143
2025-08-08,0.27274
2025-08-11,0.19417
2025-08-12,0.16423
2025-08-13,0.17708
2025-08-14,0.37619
2025-08-15,0.76935
2025-08-18,1.96768
2025-08-19,2.89393
2025-08-20,2.78762
2025-08-21,2.7981
2025-08-22,2.76786
2025-08-25,2.66345
2025-08-26,2.7375
2025-08-27,3.12357
2025-08-28,3.98226
2025-08-29,4.00012
